Color Name,Color Code
Pink Harmony,2013-60
Salmon Peach,2013-50
Pink Paradise,003
Coral Reef,012
Fan Coral,013
Soft Glow,014
Soft White,2170-70
Sunlit Coral,2170-60
Teacup Rose,2170-50
Summer Sun Pink,2012-40
Starburst Orange,2010-30
Warm Comfort,2010-20
Tomato Red,2010-10
Sun Washed,2169-70
Peach Cloud,2169-60
Malibu Peach,2169-50
Dusk Pink,2013-40
Tucson Coral,005
Piñata,007
Orange,2011-10
Cancun Sand,2016-70
Country White,898
Secluded Beach,899
Amber Waves,2159-40
Orange Ice,166
Eye of the Tiger,188
Morgan Hill Gold,189
Rich Cream,2153-60
Cookie Dough,916
Somerset Peach,163
Oklahoma Wheat,2160-50
Roasted Sesame Seed,2160-40
Golden Retriever,2165-30
Golden Meadow,2165-20
White Mountains,906
Point Pleasant,155
Hilton Head Cream,1107
Fennel Seed,1101
Dark Beige,2165-40
Roxbury Caramel,HC-42
Richmond Gold,HC-41
Kansas Grain,2160-60
Cream,2159-60
Precious Ivory,185
Boardwalk,1102
Camel Back,1103
Gladstone Tan,1106
Greenfield Pumpkin,HC-40
Peach Pie,127
Jicama,AF-315
Safari,AF-335
Tawny Bisque,1110
Sandy Valley,1112
Gingersnaps,1063
Warm Tan,2162-30
Ylang Ylang,AF-305
Sundial,1100
Harvest Time,186
Honeymoon,AF-345
Graham Cracker,1113
Gettysburgh Gold,1064
Autumn Bronze,2162-10
Cotton Tail,2155-70
Hepplewhite Ivory,HC-36
Key West Ivory,192
Goldfinch,187
Gingerbread Man,1111
Camel,2165-10
Desert Camel,2162-20
Cancun Sand,2016-70
Country White,898
Secluded Beach,899
Amber Waves,2159-40
Orange Ice,166
Eye of the Tiger,188
Morgan Hill Gold,189
Rich Cream,2153-60
Cookie Dough,916
Somerset Peach,163
Oklahoma Wheat,2160-50
Roasted Sesame Seed,2160-40
Golden Retriever,2165-30
Golden Meadow,2165-20
White Mountains,906
Point Pleasant,155
Hilton Head Cream,1107
Fennel Seed,1101
Dark Beige,2165-40
Roxbury Caramel,HC-42
Richmond Gold,HC-41
Kansas Grain,2160-60
Cream,2159-60
Precious Ivory,185
Boardwalk,1102
Camel Back,1103
Gladstone Tan,1106
Greenfield Pumpkin,HC-40
Peach Pie,127
Jicama,AF-315
Safari,AF-335
Tawny Bisque,1110
Sandy Valley,1112
Gingersnaps,1063
Warm Tan,2162-30
Ylang Ylang,AF-305
Sundial,1100
Harvest Time,186
Honeymoon,AF-345
Graham Cracker,1113
Gettysburgh Gold,1064
Autumn Bronze,2162-10
Cotton Tail,2155-70
Hepplewhite Ivory,HC-36
Key West Ivory,192
Goldfinch,187
Gingerbread Man,1111
Camel,2165-10
Desert Camel,2162-20
Cancun Sand,2016-70
Country White,898
Secluded Beach,899
Amber Waves,2159-40
Orange Ice,166
Eye of the Tiger,188
Morgan Hill Gold,189
Rich Cream,2153-60
Cookie Dough,916
Somerset Peach,163
Oklahoma Wheat,2160-50
Roasted Sesame Seed,2160-40
Golden Retriever,2165-30
Golden Meadow,2165-20
White Mountains,906
Point Pleasant,155
Hilton Head Cream,1107
Fennel Seed,1101
Dark Beige,2165-40
Roxbury Caramel,HC-42
Richmond Gold,HC-41
Kansas Grain,2160-60
Cream,2159-60
Precious Ivory,185
Boardwalk,1102
Camel Back,1103
Gladstone Tan,1106
Greenfield Pumpkin,HC-40
Peach Pie,127
Jicama,AF-315
Safari,AF-335
Tawny Bisque,1110
Sandy Valley,1112
Gingersnaps,1063
Warm Tan,2162-30
Ylang Ylang,AF-305
Sundial,1100
Harvest Time,186
Honeymoon,AF-345
Graham Cracker,1113
Gettysburgh Gold,1064
Autumn Bronze,2162-10
Cotton Tail,2155-70
Hepplewhite Ivory,HC-36
Key West Ivory,192
Goldfinch,187
Gingerbread Man,1111
Camel,2165-10
Desert Camel,2162-20
Cancun Sand,2016-70
Country White,898
Secluded Beach,899
Amber Waves,2159-40
Orange Ice,166
Eye of the Tiger,188
Morgan Hill Gold,189
Rich Cream,2153-60
Cookie Dough,916
Somerset Peach,163
Oklahoma Wheat,2160-50
Roasted Sesame Seed,2160-40
Golden Retriever,2165-30
Golden Meadow,2165-20
White Mountains,906
Point Pleasant,155
Hilton Head Cream,1107
Fennel Seed,1101
Dark Beige,2165-40
Roxbury Caramel,HC-42
Richmond Gold,HC-41
Kansas Grain,2160-60
Cream,2159-60
Precious Ivory,185
Boardwalk,1102
Camel Back,1103
Gladstone Tan,1106
Greenfield Pumpkin,HC-40
Peach Pie,127
Jicama,AF-315
Safari,AF-335
Tawny Bisque,1110
Sandy Valley,1112
Gingersnaps,1063
Warm Tan,2162-30
Ylang Ylang,AF-305
Sundial,1100
Harvest Time,186
Honeymoon,AF-345
Graham Cracker,1113
Gettysburgh Gold,1064
Autumn Bronze,2162-10
Cotton Tail,2155-70
Hepplewhite Ivory,HC-36
Key West Ivory,192
Goldfinch,187
Gingerbread Man,1111
Camel,2165-10
Desert Camel,2162-20
Cancun Sand,2016-70
Country White,898
Secluded Beach,899
Amber Waves,2159-40
Orange Ice,166
Eye of the Tiger,188
Morgan Hill Gold,189
Rich Cream,2153-60
Cookie Dough,916
Somerset Peach,163
Oklahoma Wheat,2160-50
