Title,Price,Link,Colors,Image Path
Stargazer 81'' Upholstered Sofa,$930,https://www.allmodern.com/furniture/pdp/stargazer-81-round-arm-curved-sofa-a001079132.html,", Dust Blue Velvet, Dusty Blush Velvet, Emerald Green Velvet, Rust Velvet, Snow Boucle",Imgs/Stargazer+81''+Upholstered+Sofa.jpg
Asher 82'' Upholstered Sofa,"$1,140",https://www.allmodern.com/furniture/pdp/asher-82-upholstered-sofa-kkah1058.html,", , Brent Denim Chenille, Milo Mink Chenille, Peyton Dark Slate Gray Pepper Canvas, Effie Linen Performance Linen",Imgs/Asher+82''+Upholstered+Sofa.jpg
Barberena 67'' Genuine Leather Loveseat,"$1,040",https://www.allmodern.com/furniture/pdp/barberena-67-genuine-leather-square-arm-loveseat-a001281374.html,", , Gray Genuine Leather, Camel Genuine Leather",Imgs/Barberena+67''+Genuine+Leather+Loveseat.jpg
Lazzaro 85'' Upholstered Sofa,"$1,755",https://www.allmodern.com/furniture/pdp/lazzaro-85-upholstered-sofa-a110009297.html,", ",Imgs/Lazzaro+85''+Upholstered+Sofa.jpg
Sofie Full-Grain Genuine Italian Leather Daybed,"$1,650",https://www.allmodern.com/furniture/pdp/sofie-full-grain-genuine-italian-leather-daybed-a000437989.html,", , Cognac Tan Genuine Leather, Midnight Blue Genuine Leather, Onyx Black Genuine Leather",Imgs/Sofie+Full-Grain+Genuine+Italian+Leather+Daybed.jpg
Desi Retro Button Tufted Loveseat,$350,https://www.allmodern.com/furniture/pdp/desi-retro-button-tufted-loveseat-a000559025.html,", , Blue, Orange Textured",Imgs/Desi+Retro+Button+Tufted+Loveseat.jpg
Davis 85'' Upholstered Sofa,"$1,400",https://www.allmodern.com/furniture/pdp/davis-85-upholstered-sofa-ndcu1269.html,", , Dark Grey Performance Boucle, White Performance Boucle",Imgs/Davis+85''+Upholstered+Sofa.jpg
Rion 102'' Upholstered Sofa,"$1,960",https://www.allmodern.com/furniture/pdp/rion-102-recessed-arm-sofa-ndcu1456.html,", ",Imgs/Rion+102''+Upholstered+Sofa.jpg
Minah 88.98'' Upholstered Sofa,"$1,500",https://www.allmodern.com/furniture/pdp/minah-8898-sofa-ndcu1624.html,", ",Imgs/Minah+88.98''+Upholstered+Sofa.jpg
Katrien 93'' Upholstered Sofa,"$2,200",https://www.allmodern.com/furniture/pdp/katrien-93-japandi-style-luxury-modern-boucle-fabric-curvy-arm-couch-a100000017.html?piid=1158187764,", , Orange Boucle, Dark Yellow Boucle, Ivory Boucle",Imgs/Katrien+93''+Upholstered+Sofa.jpg
Winnie 107.88'' Upholstered Sofa,"$1,900",https://www.allmodern.com/furniture/pdp/winnie-10788-upholstered-sofa-jjp10983.html,", ",Imgs/Winnie+107.88''+Upholstered+Sofa.jpg
"Jones 86"" Genuine Leather Square Arm Sofa","$2,060",https://www.allmodern.com/furniture/pdp/jones-86-genuine-leather-square-arm-sofa-ndcu1338.html,", ","Imgs/Jones+86""+Genuine+Leather+Square+Arm+Sofa.jpg"
Miller 84'' Genuine Leather Sofa,"$2,000",https://www.allmodern.com/furniture/pdp/miller-84-recessed-arm-sofa-ndcu1335.html,", ",Imgs/Miller+84''+Genuine+Leather+Sofa.jpg
Kenji 84'' Upholstered Sofa,"$1,080",https://www.allmodern.com/furniture/pdp/kenji-84-upholstered-sofa-a000446453.html,", , Cream Nylon/Polyester Blend, Light Gray Nylon/Polyester Blend , Red Performance Chenille, Rust Performance Chenille, Dark Blue Nylon/Polyester Blend",Imgs/Kenji+84''+Upholstered+Sofa.jpg
Odin 80'' Upholstered Sofa,"$1,000",https://www.allmodern.com/furniture/pdp/odin-80-upholstered-sofa-a100003215.html,", , Cloud Fine Textured Boucle, Forest Fine Textured Boucle, Royal Blue Performance Chenille, Sand Performance Chenille, Taupe Fine Textured Boucle",Imgs/Odin+80''+Upholstered+Sofa.jpg
Holloman 87'' Upholstered Sofa,"$1,799",https://www.allmodern.com/furniture/pdp/holloman-87-sofa-a100003114.html,", , Off White, Surrey Olive",Imgs/Holloman+87''+Upholstered+Sofa.jpg
Calore 89'' Genuine Leather Sofa,"$1,950",https://www.allmodern.com/furniture/pdp/calore-89-mid-century-modern-furniture-comfy-genuine-leather-sofa-a001302616.html,", , Tan Brown Genuine Leather, Campari Brown Genuine Leather, Fumo Blue Gray Genuine Leather",Imgs/Calore+89''+Genuine+Leather+Sofa.jpg
Ives 90'' Upholstered Deep Sofa With Recessed Arms,"$1,430",https://www.allmodern.com/furniture/pdp/ives-90-upholstered-deep-sofa-with-recessed-arms-kkah1369.html,", , Effie Gray Performance Linen, Flannigan Midnight Tweed, Nathan White Tweed, Luna cream Performance Woven, Soren Olivine Performance Velvet",Imgs/Ives+90''+Upholstered+Deep+Sofa+With+Recessed+Arms.jpg
"Don 90"" Upholstered Sofa","$1,820",https://www.allmodern.com/furniture/pdp/don-90-upholstered-sofa-savc1417.html,", , Cream Boucle, Cream Velvet, Light Gray Boucle, Light Gray Velvet, Navy Velvet","Imgs/Don+90""+Upholstered+Sofa.jpg"
Kesya 125'' Upholstered Sofa,"$2,200",https://www.allmodern.com/furniture/pdp/kesya-125-square-arm-sofa-with-reversible-cushions-ndcu1275.html,", , Grey Green, Purple",Imgs/Kesya+125''+Upholstered+Sofa.jpg
Raynard 86'' Upholstered Sofa,"$1,900",https://www.allmodern.com/furniture/pdp/ferebee-855-recessed-arm-sofa-a110015535.html,", ",Imgs/Raynard+86''+Upholstered+Sofa.jpg
"Gloria 104.7"" Upholstered Sofa","$2,270",https://www.allmodern.com/furniture/pdp/gloria-1047-upholstered-sofa-ndcu1626.html,", , Danny Cream, Aulla Cacao","Imgs/Gloria+104.7""+Upholstered+Sofa.jpg"
Dani 86'' Genuine Leather Sofa,"$1,480",https://www.allmodern.com/furniture/pdp/dani-top-grain-genuine-leather-scandinavian-sofa-a001243284.html,", , Vintage Brown Top Grain Leather, Vintage Campari Top Grain Genuine Leather",Imgs/Dani+86''+Genuine+Leather+Sofa.jpg
Fredric 86.6'' Upholstered Sofa,"$2,070",https://www.allmodern.com/furniture/pdp/fredric-866-square-arm-sofa-a110000335.html,", , Cream, Gray, Orange",Imgs/Fredric+86.6''+Upholstered+Sofa.jpg
Malese 98.03'' Genuine Leather Sofa,"$2,550",https://www.allmodern.com/furniture/pdp/malese-9803-genuine-leather-sofa-a110010335.html,", ",Imgs/Malese+98.03''+Genuine+Leather+Sofa.jpg
Deirdre 104.5'' Upholstered Sofa,"$2,130",https://www.allmodern.com/furniture/pdp/deirdre-1045-velvet-round-arm-modular-sofa-a000925570.html,", , Charcoal Velvet, Navy Velvet, Taupe Velvet",Imgs/Deirdre+104.5''+Upholstered+Sofa.jpg
"Amada 97"" Upholstered Sofa","$2,100",https://www.allmodern.com/furniture/pdp/amada-97-upholstered-sofa-a001002307.html,", , Black Velvet, Cream Linen","Imgs/Amada+97""+Upholstered+Sofa.jpg"
"Magali 86.6"" Japandi Style Boucle Fabric Sofa","$1,570",https://www.allmodern.com/furniture/pdp/magali-866-japandi-style-boucle-fabric-sofa-a100000013.html,", , White, Dark Gray","Imgs/Magali+86.6""+Japandi+Style+Boucle+Fabric+Sofa.jpg"
