Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Harris Skirted Slipcover 2-Piece Chaise Sectional (102"")",https://www.westelm.com/products/harris-skirted-slipcover-2-piece-chaise-sectional-h11825/?pkey=csectionals,"2,845.80","4,148","images/Harris_Skirted_Slipcover_2-Piece_Chaise_Sectional_(102"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Dalton Motion Reclining 3-Piece Chaise Sectional (119.5"")",https://www.westelm.com/products/dalton-motion-3-piece-chaise-sectional-h12150/?pkey=csectionals,"4,495","6,495","images/Dalton_Motion_Reclining_3-Piece_Chaise_Sectional_(119.5"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Pearl Gray, Yarn Dyed Linen Weave, Pewter"
"Leroy Leather 2-Piece Chaise Sectional (110.5"")",https://www.westelm.com/products/leroy-leather-2-piece-chaise-sectional-h12190/?pkey=csectionals,"5,098","5,298","images/Leroy_Leather_2-Piece_Chaise_Sectional_(110.5"").jpg","Saddle Leather, Nut, Ludlow Leather, Gray Smoke, Ludlow Leather, Sand, Ludlow Leather, Sesame"
"Hadley 2-Piece Chaise Sectional (116"")",https://www.westelm.com/products/hadley-2-piece-chaise-sectional-h12311/?pkey=csectionals,"2,548.30","3,598","images/Hadley_2-Piece_Chaise_Sectional_(116"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Performance Yarn Dyed Linen Weave, Sand"
"Billy Cotton Curved Armless L-Shaped Sectional (70""–101"")",https://www.westelm.com/products/billy-cotton-armless-l-shaped-sectional-h12309/?pkey=csectionals,"1,996","4,794","images/Billy_Cotton_Curved_Armless_L-Shaped_Sectional_(70""–101"").jpg","Yarn Dyed Linen Weave, Alabaster, Yarn Dyed Linen Weave, Sand, Performance Coastal Linen, Midnight, Performance Coastal Linen, Dark Olive"
"London 2-Piece Sleeper Sectional (91"")",https://www.westelm.com/products/london-sleeper-sectional-h8984/?pkey=csectionals,799.99,999,"images/London_2-Piece_Sleeper_Sectional_(91"").jpg",
"Harris 2-Piece Reversible Sectional (86"")",https://www.westelm.com/products/harris-reversible-sectional-h4892/?pkey=csectionals,"1,614.15","2,399","images/Harris_2-Piece_Reversible_Sectional_(86"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
"Harmony 2-Piece Bumper Chaise Sectional (107""–117"")",https://www.westelm.com/products/harmony-2-piece-terminal-chaise-sectional-h4382/?pkey=csectionals,"3,143.30","4,998","images/Harmony_2-Piece_Bumper_Chaise_Sectional_(107""–117"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray, Yarn Dyed Linen Weave, Alabaster"
"Eddy 2-Piece Reversible Sectional (74""–90"")",https://www.westelm.com/products/eddy-sectional-h2694/?pkey=csectionals,"1,359.15","2,099","images/Eddy_2-Piece_Reversible_Sectional_(74""–90"").jpg","Yarn Dyed Linen Weave, Pewter, Yarn Dyed Linen Weave, Graphite, Yarn Dyed Linen Weave, Frost Gray, Yarn Dyed Linen Weave, Sand"
"Harris 2-Piece Pop-Up Sleeper Sectional w/ Storage Chaise (82.5"")",https://www.westelm.com/products/harris-2-piece-pop-up-sleeper-sectional-w-storage-h6490/?pkey=csectionals,"2,973.30","4,098","images/Harris_2-Piece_Pop-Up_Sleeper_Sectional_w__Storage_Chaise_(82.5"").jpg","Performance Yarn Dyed Linen Weave, Alabaster, Performance Yarn Dyed Linen Weave, Pewter, Performance Yarn Dyed Linen Weave, Graphite, Performance Yarn Dyed Linen Weave, Frost Gray"
