Title,Description,Price Range,Link,Image Path,Colors
July™,Single-handle bathroom sink faucets with lever handle,$210.86,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/july-single-handle-bathroom-sink-faucet-16027-4?skuId=16027-4-CP,kohler\K-16027-4-CP.jpg,Polished Chrome
July™,Single-handle bathroom sink faucets with lever handle,$224.36,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/july-single-handle-bathroom-sink-faucet-with-escutcheon-98146-4?skuId=98146-4-CP,kohler\K-98146-4-CP.jpg,Polished Chrome
Kumin™,Single-handle bathroom sink faucets with lever handle,$177.79,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/kumin-single-handle-bathroom-sink-faucet-98827-4?skuId=98827-4-CP,kohler\K-98827-4-CP.jpg,Polished Chrome
Parallel™,Single-handle bathroom sink faucets with lever handle,$337.27 - $539.66,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/parallel-single-handle-bathroom-sink-faucet-23472-4k?skuId=23472-4K-CP,kohler\K-23472-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Parallel™,Single-handle bathroom sink faucets with lever handle,$484.87 - $775.80,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/parallel-single-handle-bathroom-sink-faucet-23475-4k?skuId=23475-4K-CP,kohler\K-23475-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Parallel™,Single-handle bathroom sink faucets with lever handle,$337.27 - $539.66,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/parallel-1-0-gpm-single-handle-bathroom-sink-faucet-24804-4k?skuId=24804-4K-CP,kohler\K-24804-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Riff™,Single-handle bathroom sink faucets with lever handle,$313.50 - $454.57,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/riff-tall-single-handle-bathroom-sink-faucet-1-0-gpm-26430-4k?skuId=26430-4K-CP,kohler\K-26430-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Riff™,Single-handle bathroom sink faucets with lever handle,$218.25 - $316.46,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/riff-single-handle-bathroom-sink-faucet-27400-4k?skuId=27400-4K-CP,kohler\K-27400-4K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Taut™,Single-handle bathroom sink faucets with lever handle,$234.15 - $339.52,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/taut-single-handle-bathroom-sink-faucet-74013-4?skuId=74013-4-CP,kohler\K-74013-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Taut™,Single-handle bathroom sink faucets with lever handle,$243.37 - $352.91,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/taut-single-handle-bathroom-sink-faucet-with-escutcheon-74021-4?skuId=74021-4-CP,kohler\K-74021-4-CP.jpg,"Polished Chrome,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Matte Black"
Venza™,Single-handle bathroom sink faucets with lever handle,$171.00 - $230.85,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/venza-single-handle-bathroom-sink-faucet-1-0-gpm-28126-4k?skuId=28126-4K-CP,kohler\K-28126-4K-CP.jpg,"Polished Chrome,Vibrant Brushed Nickel,Matte Black"
Coralais™,Single-handle bathroom sink faucets with lever handle,$172.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/coralais-single-handle-centerset-bathroom-sink-faucet-with-plastic-pop-up-drain-and-lift-rod-15182-4dra?skuId=15182-4DRA-CP,kohler\K-15182-4DRA-CP.jpg,Polished Chrome
Components™,Knob bathroom sink faucet handles,$334.31 - $534.90,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/components-bathroom-sink-rocker-handle-77963-8a?skuId=77963-8A-CP,kohler\K-77963-8A-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Artifacts™,Bathroom sink faucet spout,$567.37 - $907.80,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/artifacts-with-column-design-widespread-bathroom-sink-spout-72760?skuId=72760-CP,kohler\K-72760-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Artifacts™ with Bell design,Bathroom sink faucet spout,$328.54 - $525.67,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/artifacts-with-bell-design-widespread-bathroom-sink-spout-72759?skuId=72759-CP,kohler\K-72759-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Artifacts™ with Flume design,Bathroom sink faucet spout,$513.79 - $822.07,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/artifacts-with-flume-design-widespread-bathroom-sink-spout-72761?skuId=72761-CP,kohler\K-72761-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Artifacts™ with Tea design,Bathroom sink faucet spout,$459.94 - $735.90,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/artifacts-with-tea-design-bathroom-sink-spout-72758?skuId=72758-CP,kohler\K-72758-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Components™,Bathroom sink faucet spout,$514.87 - $823.80,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/components-tall-bathroom-sink-spout-with-row-design-23887?skuId=23887-CP,kohler\K-23887-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Components™,Bathroom sink faucet spout,$429.11 - $686.59,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/components-tall-bathroom-sink-spout-w-tube-design-77965?skuId=77965-CP,kohler\K-77965-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Components™,Bathroom sink faucet spout,$334.31 - $534.90,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/components-bathroom-sink-spout-w-tube-design-77967?skuId=77967-CP,kohler\K-77967-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Components™,Bathroom sink faucet spout,$375.45 - $600.75,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/components-bathroom-sink-spout-w-ribbon-design-77968?skuId=77968-CP,kohler\K-77968-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Components™,Bathroom sink faucet spout,$414.49 - $663.19,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/components-bathroom-sink-spout-w-row-design-77969?skuId=77969-CP,kohler\K-77969-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Occasion™,Bathroom sink faucet spout,$340.42 - $544.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/occasion-bathroom-sink-faucet-spout-with-cane-design-1-0-gpm-27008-k?skuId=27008-K-CP,kohler\K-27008-K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Occasion™,Bathroom sink faucet spout,$340.42 - $544.69,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/occasion-bathroom-sink-faucet-spout-with-straight-design-1-0-gpm-27009-k?skuId=27009-K-CP,kohler\K-27009-K-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
Title not found for product ID: K-15182-4RA-CP,Description not found,Price not found,Link not found,Image not found,
Title not found for product ID: K-77966-CP,Description not found,Price not found,Link not found,Image not found,
Title,Description,Price Range,Link,Image Path,Colors
Purist™,Widespread bathroom sink faucets with lever handles,$524.10 - $838.57,/en/products/bathroom-faucets/shop-bathroom-sink-faucets/purist-widespread-bathroom-sink-faucet-with-low-lever-handles-and-low-gooseneck-spout-14406-4?skuId=14406-4-CP,kohler\K-14406-4-CP.jpg,"Polished Chrome,Vibrant Polished Nickel,Vibrant Titanium,Vibrant French Gold,Vibrant Brushed Moderne Brass,Vibrant Brushed Nickel,Vibrant Brushed Bronze"
