Title,Link,Sale Price,Regular Price,Image Path,Swatch Colors
"Big Sur Square Arm U-Shaped Sectional (146""–178"")",https://www.potterybarn.com/products/big-sur-square-arm-upholstered-u-sofa-sectional/?pkey=cbig-sur-sofas-sectionals,"7,559","13,295","images/Big_Sur_Square_Arm_U-Shaped_Sectional_(146""–178"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Slipcovered 3-Piece L-Shaped Sectional (120"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-slipcovered-3-pc-l-shaped-corner-sect/?pkey=cbig-sur-sofas-sectionals,"5,734","9,097","images/Big_Sur_Square_Arm_Deep_Seat_Slipcovered_3-Piece_L-Shaped_Sectional_(120"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Slipcovered Return Bumper Sectional (121""–153"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-slipcovered-return-bumper-sectional/?pkey=cbig-sur-sofas-sectionals,"4,374","7,098","images/Big_Sur_Square_Arm_Deep_Seat_Slipcovered_Return_Bumper_Sectional_(121""–153"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Roll Arm Deep Seat Slipcovered Chaise Sectional (115""–158"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-slipcovered-sofa-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"3,909","6,748","images/Big_Sur_Roll_Arm_Deep_Seat_Slipcovered_Chaise_Sectional_(115""–158"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm Deep Seat Slipcovered Sofa (77""–106"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-slipcovered-sofa-collection/?pkey=cbig-sur-sofas-sectionals,"1,954","3,999","images/Big_Sur_Roll_Arm_Deep_Seat_Slipcovered_Sofa_(77""–106"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Roll Arm Leather 3-Piece Sectional (115"")",https://www.potterybarn.com/products/big-sur-roll-leather-corner-sectional/?pkey=cbig-sur-sofas-sectionals,"7,297","7,897","images/Big_Sur_Roll_Arm_Leather_3-Piece_Sectional_(115"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Roll Arm U-Shaped Sectional (145""–178"")",https://www.potterybarn.com/products/big-sur-roll-upholstered-u-sofa-sectional/?pkey=cbig-sur-sofas-sectionals,"7,559","13,295","images/Big_Sur_Roll_Arm_U-Shaped_Sectional_(145""–178"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
Big Sur Square Arm Deep Seat Chair,https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-upholstered-armchair/?pkey=cbig-sur-sofas-sectionals,"1,484","2,499",images/Big_Sur_Square_Arm_Deep_Seat_Chair.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm Deep Seat Leather Sofa (78""–107"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-leather-sofa-collection/?pkey=cbig-sur-sofas-sectionals,"3,739","4,899","images/Big_Sur_Roll_Arm_Deep_Seat_Leather_Sofa_(78""–107"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
Big Sur Square Arm Grand Chaise,https://www.potterybarn.com/products/big-sur-square-upholstered-chaise/?pkey=cbig-sur-sofas-sectionals,"1,869","2,999",images/Big_Sur_Square_Arm_Grand_Chaise.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
Big Sur Roll Arm Grand Chaise,https://www.potterybarn.com/products/big-sur-roll-upholstered-grand-chaise/?pkey=cbig-sur-sofas-sectionals,"1,869","2,999",images/Big_Sur_Roll_Arm_Grand_Chaise.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
Big Sur Roll Arm Leather Chair,https://www.potterybarn.com/products/big-sur-roll-leather-armchair/?pkey=cbig-sur-sofas-sectionals,"2,199","2,599",images/Big_Sur_Roll_Arm_Leather_Chair.jpg,"Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Square Arm Deep Seat Leather Chaise Sectional (115""–157"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-leather-sofa-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"5,778","7,698","images/Big_Sur_Square_Arm_Deep_Seat_Leather_Chaise_Sectional_(115""–157"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Square Arm Deep Seat 3-Piece Wedge Sectional (120"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-upholstered-3-piece-sectional-with-wedge/?pkey=cbig-sur-sofas-sectionals,"4,459","6,947","images/Big_Sur_Square_Arm_Deep_Seat_3-Piece_Wedge_Sectional_(120"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Square Arm Deep Seat Double Chaise Sectional (146""–198"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-upholstered-u-shaped-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"5,349","9,597","images/Big_Sur_Square_Arm_Deep_Seat_Double_Chaise_Sectional_(146""–198"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Square Arm Deep Seat Leather 3-Piece L-Shaped Wedge Sectional (129"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-leather-3-pc-l-shaped-wedge-sect/?pkey=cbig-sur-sofas-sectionals,"8,922","10,497","images/Big_Sur_Square_Arm_Deep_Seat_Leather_3-Piece_L-Shaped_Wedge_Sectional_(129"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Roll Arm Slipcovered Return Bumper Sectional (166""–198"")",https://www.potterybarn.com/products/big-sur-roll-slipcovered-return-bumper-sectional/?pkey=cbig-sur-sofas-sectionals,"3,949","6,598","images/Big_Sur_Roll_Arm_Slipcovered_Return_Bumper_Sectional_(166""–198"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat U-Shaped Sectional (158""–190"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-upholstered-u-shaped-sectional/?pkey=cbig-sur-sofas-sectionals,"8,834","14,795","images/Big_Sur_Square_Arm_Deep_Seat_U-Shaped_Sectional_(158""–190"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
Big Sur Square Arm Deep Seat Slipcovered Grand Chaise,https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-slipcovered-grand-chaise/?pkey=cbig-sur-sofas-sectionals,"2,294","3,499",images/Big_Sur_Square_Arm_Deep_Seat_Slipcovered_Grand_Chaise.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
Big Sur Roll Arm Deep Seat Grand Chaise,https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-upholstered-grand-chaise/?pkey=cbig-sur-sofas-sectionals,"2,209","3,399",images/Big_Sur_Roll_Arm_Deep_Seat_Grand_Chaise.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm Deep Seat 3-Piece Sectional (121"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-upholstered-3-piece-corner-sectional/?pkey=cbig-sur-sofas-sectionals,"4,924","8,097","images/Big_Sur_Roll_Arm_Deep_Seat_3-Piece_Sectional_(121"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
"Big Sur Roll Arm Slipcovered Chaise Sectional (115""–157"")",https://www.potterybarn.com/products/big-sur-roll-slipcovered-sofa-sectional-with-chaise/?pkey=cbig-sur-sofas-sectionals,"3,399","6,148","images/Big_Sur_Roll_Arm_Slipcovered_Chaise_Sectional_(115""–157"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Leather 3-Piece Sectional (121"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-leather-3-piece-corner-sectional/?pkey=cbig-sur-sofas-sectionals,"7,647","8,997","images/Big_Sur_Square_Arm_Deep_Seat_Leather_3-Piece_Sectional_(121"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
Big Sur Square Arm Slipcovered Chair,https://www.potterybarn.com/products/big-sur-square-arm-slipcovered-armchair/?pkey=cbig-sur-sofas-sectionals,"1,399","2,399",images/Big_Sur_Square_Arm_Slipcovered_Chair.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm Deep Seat Slipcovered Double Chaise Sectional (145""–200"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-slipcovered-u-shaped-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"5,604","9,897","images/Big_Sur_Roll_Arm_Deep_Seat_Slipcovered_Double_Chaise_Sectional_(145""–200"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
Big Sur Roll Arm Deep Seat Swivel Chair,https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-upholstered-swivel-armchair/?pkey=cbig-sur-sofas-sectionals,"1,569","2,599",images/Big_Sur_Roll_Arm_Deep_Seat_Swivel_Chair.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Leather U-Shaped Sectional (159""–191"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-leather-u-shaped-sectional/?pkey=cbig-sur-sofas-sectionals,"15,495","16,995","images/Big_Sur_Square_Arm_Deep_Seat_Leather_U-Shaped_Sectional_(159""–191"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
"Big Sur Square Arm Slipcovered 3-Piece L-Shaped Sectional (114"")",https://www.potterybarn.com/products/big-sur-square-arm-slipcovered-3-piece-sectional/?pkey=cbig-sur-sofas-sectionals,"4,969","8,197","images/Big_Sur_Square_Arm_Slipcovered_3-Piece_L-Shaped_Sectional_(114"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Slipcovered Sofa (77""–105"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-slipcovered-sofa/?pkey=cbig-sur-sofas-sectionals,"1,954","3,999","images/Big_Sur_Square_Arm_Deep_Seat_Slipcovered_Sofa_(77""–105"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Metal, Performance Everydaylinen™, Oatmeal"
Big Sur Roll Arm Slipcovered Grand Chaise,https://www.potterybarn.com/products/big-sur-roll-slipcovered-grand-chaise/?pkey=cbig-sur-sofas-sectionals,"1,954","3,099",images/Big_Sur_Roll_Arm_Slipcovered_Grand_Chaise.jpg,"Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm Deep Seat Chaise Sectional (115""–158"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-upholstered-sofa-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"3,739","6,548","images/Big_Sur_Roll_Arm_Deep_Seat_Chaise_Sectional_(115""–158"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm Deep Seat Slipcovered 3-Piece Bumper Sectional (121"")",https://www.potterybarn.com/products/big-sur-roll-arm-deep-seat-slipcovered-3-piece-bumper-sectional/?pkey=cbig-sur-sofas-sectionals,"4,398","8,947","images/Big_Sur_Roll_Arm_Deep_Seat_Slipcovered_3-Piece_Bumper_Sectional_(121"").jpg","Performance Boucle, Oatmeal, Performance Everydaylinen™, Oatmeal, Performance Everydaylinen™, Ivory, Performance Everydaylinen™, Navy"
"Big Sur Roll Arm Double Chaise Sectional (145""–198"")",https://www.potterybarn.com/products/big-sur-roll-upholstered-u-chaise-sectional/?pkey=cbig-sur-sofas-sectionals,"4,584","8,697","images/Big_Sur_Roll_Arm_Double_Chaise_Sectional_(145""–198"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Roll Arm 3-Piece Bumper Sectional (115"")",https://www.potterybarn.com/products/big-sur-roll-upholstered-bumper-sectional/?pkey=cbig-sur-sofas-sectionals,"4,584","7,747","images/Big_Sur_Roll_Arm_3-Piece_Bumper_Sectional_(115"").jpg","Performance Boucle, Oatmeal, Performance Boucle, Ivory, Performance Boucle, Pebble, Performance Boucle, Metal"
"Big Sur Square Arm Deep Seat Leather 3-Piece Bumper Sectional (121"")",https://www.potterybarn.com/products/big-sur-square-arm-deep-seat-leather-3-piece-bumper-sectional/?pkey=cbig-sur-sofas-sectionals,"8,157","9,597","images/Big_Sur_Square_Arm_Deep_Seat_Leather_3-Piece_Bumper_Sectional_(121"").jpg","Statesville Molasses, Statesville Espresso, Statesville Toffee, Statesville Caramel"
